,create_date,location_name,msg,msg
0,2020/03/08 21:24:10,서울특별시 동대문구,동대문구청,"10,11확진자 발생.이문1동거주 성북구 주민(3월7일 확진자)의 처,자(생후4주 여) 금일 입원조치예정,자가산후 조리중.외부 이동 동선 없습니다."
1,2020/03/08 21:21:47,서울특별시 동대문구,동대문구청,"8,9번 확진자 발생(이문2동 25세,여/휘경2동 27세,남) 2번 확진자 접촉자.금일 입원조치 및 사업장 일시폐쇄 후 소독예정,홈페이지 참조"
2,2020/03/08 20:52:48,경기도 안성시,안성시청, 확진자 출퇴근 회사명(미양면 소재)을 정정(SMT->에스앤드피)하여 알려 드립니다.
3,2020/03/08 20:40:08,경상북도 영천시,영천시청," 마스크는 우체국과 농협에서 1인 1일 1매, 월요일 약국에서 출생연도 끝자리 1, 6인 분들께서 2매 구매 가능합니다.(신분증 지참)"
4,2020/03/08 20:19:43,경기도 부천시,부천시청," 2월 중순이후 대구경북지역 방문자 및 접촉자 중 발열, 호흡기, 인후통 증상이 있으신 분은 부천시보건소(032-625-8881~4)로 상담 바랍니다."
5,2020/03/08 20:12:38,경상북도 경산시,경산시청,"3월9일(월)은 출생연도 끝자리1과6인분들이 공적판매소에서 마스크를 구매 할수 있습니다(1인당 주2매 구매가능,신분증지참,안내1577-1255→내선5)"
6,2020/03/08 20:10:46,세종특별자치시,세종시청," 코로나19 추가확진자 발생. 6번(40대 여성, 아름동), 새봄GX줌바댄스 수강생. 세부사항은 추후 공지 예정입니다."
7,2020/03/08 20:10:34,경상북도 경산시,경산시청,"공적마스크 출생연도 5부제 판매 시행, 3월9일부터 1주 1인 2매 구매제한, 신분증 지참, 공적판매소(경산시홈페이지 게재)에서 구입 할 수 있습니다."
8,2020/03/08 20:05:57,경상북도 예천군,예천군청, 공적마스크 우체국 판매는 면단위 우체국에서 11시에 1인 1매 판매합니다.(예천읍우체국 제외)
9,2020/03/08 20:00:11,전라남도 목포시,목포시,"현재 목포시에는 코로나 확진자가 없으며, 시의료원에도 이송환자는 없습니다. 마스크 5부제 시행 이해와 협조 바랍니다.(재대본 061-270-4971~4)"
10,2020/03/08 19:44:01,경기도 안성시,안성시청(1-3)," 철저히 실시하여 안전하며, 향후 추가 이동경로 확인시 공개할 예정이오니 외출자제, 개인위생관리 철저 바랍니다."
11,2020/03/08 19:43:49,경기도 안성시,안성시청(1-2)," 3/2~3/6까지 이동동선 CCTV조사 결과 접촉자가 없었으며, 마스크를 항상 착용하였으며 동선에 대한 방역소독을"
12,2020/03/08 19:43:31,경기도 안성시,안성시청(1-1)," 안성시 확진자 1명 동선 공개, ‘SMT연마’(미양면 소재)회사까지 2/24(월)~3/6(금) 출퇴근 시 자가용 이용,"
13,2020/03/08 19:27:32,경상북도 구미시,구미시청,코로나19 확산방지를 위해 예방적 차원으로 3월9일~22일까지(2주간) 사회복지시설(51개소)에 ‘코호트 격리’를 시행함을 알려드립니다.
14,2020/03/08 19:22:46,경기도 부천시,부천시청,"코로나 추가확진자 4명발생(소사초교·도당주민센터 인근빌라, 신흥시장사거리 인근주택2명)인근지역 방역완료, 역학조사중, 이동경로 시홈페이지 게시예정입니다"
15,2020/03/08 19:05:31,경기도 용인시,용인시청,마스크 판매는 택배 도착시간에 따라서 약국에서 판매하는 시간이 각기 다를 수 있습니다.
16,2020/03/08 19:00:53,"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",식약처, 약국에서 마스크 구매 시에는 5부제 시행으로 3.9일 월요일은 출생연도 끝자리가 1과 6인 분들만 1인 주 2매 구매 가능합니다.(신분증 필요)
17,2020/03/08 19:00:06,"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",식약처," 마스크는 우체국과 농협에서 1인 1일 1매, 약국에서는 1인 주 2매 구매 가능합니다."
18,2020/03/08 18:46:53,전라남도 여수시,여수시청,타지역에서 마스크 매점매석 사례가 발생되어 엄중한 처벌 사례가 있다합니다 우리 여수시에서는 이런 비양심적인 일이 단 한건도 일어나지 않도록 협조바랍니다
